Automaker,Umbrella,Year,Sold Autos,Status,World Rank
"TOYOTA,LEXUS,HINO,",Toyota,2023,10307395,↑ 8%,1
"TOYOTA,LEXUS,HINO,",Toyota,2022,9566961,↑ 1%,1
"TOYOTA,LEXUS,HINO,",Toyota,2021,9562483,↑ 1%,1
"VOLKSWAGEN,AUDI,BENTLEY,LAMBORGHINI,DUCATI,PORSCHE",Volkswagen,2023,9239575,↑ 12%,2
"VOLKSWAGEN,AUDI,BENTLEY,LAMBORGHINI,DUCATI,PORSCHE",Volkswagen,2022,8263104,↓ 7%,2
"VOLKSWAGEN,AUDI,BENTLEY,LAMBORGHINI,DUCATI,PORSCHE",Volkswagen,2021,8882346,↓ 5%,2
"HYUNDAI,HYUNDAI TRANSLEAD,KIA,KIA MOTOR",Hyundai,2023,7302451,↑ 7%,3
"HYUNDAI,HYUNDAI TRANSLEAD,KIA,KIA MOTOR",Hyundai,2022,6848198,↑ 3%,3
"HYUNDAI,HYUNDAI TRANSLEAD,KIA,KIA MOTOR",Hyundai,2021,6668037,↑ 5%,3
"ALFA ROMEO,CHRYSLER,DODGE,FIAT,JEEP,MASERATI,RAM",Stellantis,2023,6392600,↑ 6%,4
"ALFA ROMEO,CHRYSLER,DODGE,FIAT,JEEP,MASERATI,RAM",Stellantis,2022,6002900,↓ 2%,4
"ALFA ROMEO,CHRYSLER,DODGE,FIAT,JEEP,MASERATI,RAM",Stellantis,2021,6142200,↓ 1%,5
"GMC,BUICK,CADILLAC,CHEVROLET",General Motors,2023,6188476,↑ 4%,5
"GMC,BUICK,CADILLAC,CHEVROLET",General Motors,2022,5941737,↓ 6%,5
"GMC,BUICK,CADILLAC,CHEVROLET",General Motors,2021,6294385,↓ 8%,4
"FORD,LINCOLN",Ford,2023,4413545,↑ 4%,6
"FORD,LINCOLN",Ford,2022,4235737,↑ 7%,6
"FORD,LINCOLN",Ford,2021,3942755,↓ 7%,8
"HONDA,ACURA",HONDA,2023,4188039,↑ 8%,7
"HONDA,ACURA",HONDA,2022,4074372,↓ 9%,7
"HONDA,ACURA",HONDA,2021,4456728,↓ 6%,6
"NISSAN,INFINITI",Nissan,2023,3374271,↑ 5%,8
"NISSAN,INFINITI",Nissan,2022,3225478,↓ 21%,8
"NISSAN,INFINITI",Nissan,2021,4064999,↑ 1%,7
"BMW,MINI,ROLLS-ROYCE,",BMW,2023,2555341,↑ 7%,9
"BMW,MINI,ROLLS-ROYCE,",BMW,2022,2399636,↓ 5%,10
"BMW,MINI,ROLLS-ROYCE,",BMW,2021,2521596,↑ 8%,10
"MERCEDES-MAYBACH,MERCEDES-BENZ,MERCEDES BENZ",Mercedez-Benz,2023,2493177,↑ 2%,11
"MERCEDES-MAYBACH,MERCEDES-BENZ,MERCEDES BENZ",Mercedez-Benz,2022,2456063,↑ 5%,9
"MERCEDES-MAYBACH,MERCEDES-BENZ,MERCEDES BENZ",Mercedez-Benz,2021,2330169,↓ 5%,11
TESLA,Tesla,2023,1808581,↑ 32%,14
TESLA,Tesla,2022,1369611,↑ 47%,15
TESLA,Tesla,2021,930422,↑ 83%,18
"LOTUS,VOLVO,SMART",Geely,2023,1686516,↑ 18%,15
"LOTUS,VOLVO,SMART",Geely,2022,1432988,↑ 8%,14
"LOTUS,VOLVO,SMART",Geely,2021,1328029,↑ 1%,14
